"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"e:\react\whatsapp\src\App.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\react\whatsapp\src\App.js", "JavaScript", 74, 0, 0, 0, 12, 86
"e:\react\whatsapp\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"e:\react\whatsapp\src\assets\arrow.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\arrowTail.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\attachment.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\avatar.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\camera.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\chat.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\clock.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\close.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\closeThin.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\crop.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\delete.svg", "XML", 0, 0, 1, 0, 1, 2
"e:\react\whatsapp\src\assets\docIcon.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\document.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\done.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\down.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\download.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\edit.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\emoji.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\error.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\gif.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\group.svg", "XML", 0, 0, 4, 0, 0, 4
"e:\react\whatsapp\src\assets\info.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\lock.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\menu.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\next.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\ok.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\page.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\pause.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\photo.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\photos.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\pin.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\play.svg", "XML", 0, 0, 6, 0, 0, 6
"e:\react\whatsapp\src\assets\recalled.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\reply.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\search.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\send.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\startupIcon.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\sticker.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\tail.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\tailOut.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\tick.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react\whatsapp\src\assets\upload.svg", "XML", 0, 0, 3, 0, 0, 3
"e:\react\whatsapp\src\assets\uploadOutline.svg", "XML", 0, 0, 4, 0, 0, 4
"e:\react\whatsapp\src\assets\video.svg", "XML", 0, 0, 4, 0, 0, 4
"e:\react\whatsapp\src\awsclient.js", "JavaScript", 4, 0, 0, 1, 2, 7
"e:\react\whatsapp\src\components\Avatar\index.js", "JavaScript", 63, 0, 0, 0, 13, 76
"e:\react\whatsapp\src\components\Button.js\index.js", "JavaScript", 10, 0, 0, 0, 3, 13
"e:\react\whatsapp\src\components\ChatItem\index.js", "JavaScript", 161, 0, 0, 5, 29, 195
"e:\react\whatsapp\src\components\ChatItem\view.js", "JavaScript", 227, 0, 0, 1, 20, 248
"e:\react\whatsapp\src\components\ChatList\index.js", "JavaScript", 21, 0, 0, 0, 5, 26
"e:\react\whatsapp\src\components\Disclosure\index.js", "JavaScript", 56, 0, 0, 0, 9, 65
"e:\react\whatsapp\src\components\Menu\index.js", "JavaScript", 70, 0, 0, 0, 10, 80
"e:\react\whatsapp\src\components\NewChat\index.js", "JavaScript", 185, 0, 0, 0, 32, 217
